No.,選手名,守備,生年月日,年齢,年数,身長,体重,血液型,投打,出身地,年俸(推定),team,year
59,美間　優槻,内野手,1994/05/26,23歳,5年,177cm,90kg,B型,右右,徳島,550万円,広島,2017
60,安部　友裕,内野手,1989/06/24,28歳,10年,181cm,81kg,O型,右左,福岡,"2,100万円",広島,2017
61,坂倉　将吾,捕手,1998/05/29,19歳,1年,176cm,82kg,A型,右左,千葉,500万円,広島,2017
62,今井　啓介,投手,1987/05/24,30歳,12年,183cm,89kg,B型,右右,新潟,"1,000万円",広島,2017
63,西川　龍馬,内野手,1994/12/10,23歳,2年,176cm,70kg,O型,右左,大阪,930万円,広島,2017
64,多田　大輔,捕手,1996/05/25,21歳,3年,189cm,92kg,B型,右右,徳島,450万円,広島,2017
65,長井　良太,投手,1999/01/15,18歳,1年,181cm,80kg,B型,右右,兵庫,450万円,広島,2017
66,ヘーゲンズ,投手,1989/05/12,28歳,2年,190cm,95kg,不明,右右,アメリカ,"7,700万円",広島,2017
67,中村　祐太,投手,1995/08/31,22歳,4年,182cm,80kg,A型,右右,東京,450万円,広島,2017
68,中村　亘佑,捕手,1991/04/02,26歳,8年,181cm,87kg,O型,右右,神奈川,450万円,広島,2017
69,青木　陸,内野手,1997/11/11,20歳,2年,181cm,87kg,B型,右右,山形,450万円,広島,2017
70,ブレイシア,投手,1987/08/26,30歳,1年,183cm,102kg,不明,右左,アメリカ,"5,600万円",広島,2017
95,バティスタ,内野手,1992/01/18,25歳,2年,189cm,115kg,不明,右右,ドミニカ共和国,240万円,広島,2017
98,佐藤　祥万,投手,1989/08/18,28歳,10年,172cm,78kg,B型,左左,栃木,600万円,広島,2017
121,松浦　耕大,捕手,1993/04/06,24歳,3年,175cm,78kg,O型,右右,福岡,400万円,広島,2017
123,木村　聡司,内野手,1996/05/06,21歳,3年,180cm,78kg,B型,右右,静岡,350万円,広島,2017
146,メヒア,内野手,1993/03/10,24歳,2年,192cm,102kg,不明,右右,ドミニカ共和国,240万円,広島,2017
0,上本　博紀,内野手,1986/07/04,31歳,9年,173cm,65kg,O型,右右,広島,"3,300万円",阪神,2017
0,大和,内野手,1987/11/05,30歳,12年,177cm,69kg,A型,右両,鹿児島,"5,000万円",阪神,2017
1,鳥谷　敬,内野手,1981/06/26,36歳,14年,180cm,78kg,B型,右左,東京,"40,000万円",阪神,2017
2,北條　史也,内野手,1994/07/29,23歳,5年,177cm,75kg,O型,右右,大阪,"2,200万円",阪神,2017
3,大山　悠輔,内野手,1994/12/19,23歳,1年,181cm,85kg,O型,右右,茨城,"1,500万円",阪神,2017
5,西岡　剛,内野手,1984/07/27,33歳,13年,182cm,84kg,A型,右両,大阪,"9,000万円",阪神,2017
7,糸井　嘉男,外野手,1981/07/31,36歳,14年,187cm,88kg,A型,右左,京都,"28,000万円",阪神,2017
8,福留　孝介,外野手,1977/04/26,40歳,14年,182cm,93kg,B型,右左,鹿児島,"23,000万円",阪神,2017
9,髙山　俊,外野手,1993/04/18,24歳,2年,181cm,86kg,O型,右左,千葉,"4,000万円",阪神,2017
12,坂本　誠志郎,捕手,1993/11/10,24歳,2年,176cm,79kg,O型,右右,兵庫,"1,300万円",阪神,2017
13,榎田　大樹,投手,1986/08/07,31歳,7年,181cm,92kg,AB型,左左,鹿児島,"3,200万円",阪神,2017
14,能見　篤史,投手,1979/05/28,38歳,13年,180cm,72kg,AB型,左左,兵庫,"13,000万円",阪神,2017
15,横山　雄哉,投手,1994/02/21,23歳,3年,183cm,83kg,O型,左左,山形,"1,570万円",阪神,2017
16,安藤　優也,投手,1977/12/27,40歳,16年,184cm,99kg,O型,右右,大分,"8,800万円",阪神,2017
17,岩貞　祐太,投手,1991/09/05,26歳,4年,183cm,84kg,A型,左左,熊本,"4,000万円",阪神,2017
19,藤浪　晋太郎,投手,1994/04/12,23歳,5年,197cm,89kg,A型,右右,大阪,"16,000万円",阪神,2017
20,メンデス,投手,1990/07/25,27歳,1年,191cm,107kg,不明,右右,ドミニカ共和国,"7,500万円",阪神,2017
21,岩田　稔,投手,1983/10/31,34歳,12年,179cm,94kg,O型,左左,大阪,"5,300万円",阪神,2017
22,藤川　球児,投手,1980/07/21,37歳,16年,185cm,86kg,A型,右左,高知,"20,000万円",阪神,2017
24,横田　慎太郎,外野手,1995/06/09,22歳,4年,187cm,89kg,O型,左左,鹿児島,870万円,阪神,2017
25,江越　大賀,外野手,1993/03/12,24歳,3年,182cm,80kg,O型,右右,長崎,"1,700万円",阪神,2017
26,歳内　宏明,投手,1993/07/19,24歳,6年,184cm,90kg,B型,右右,兵庫,"1,500万円",阪神,2017
28,小野　泰己,投手,1994/05/30,23歳,1年,184cm,75kg,A型,右右,福岡,"1,200万円",阪神,2017
29,キャンベル,内野手,1987/04/09,30歳,1年,191cm,98kg,不明,右右,アメリカ,"7,000万円",阪神,2017
30,石崎　剛,投手,1990/09/09,27歳,3年,183cm,89kg,O型,右右,茨城,"1,300万円",阪神,2017
32,新井　良太,内野手,1983/08/16,34歳,12年,188cm,99kg,AB型,右右,広島,"2,100万円",阪神,2017
33,糸原　健斗,内野手,1992/11/11,25歳,1年,175cm,80kg,O型,右左,島根,800万円,阪神,2017
34,高宮　和也,投手,1981/12/04,36歳,12年,174cm,81kg,A型,左左,大阪,"2,600万円",阪神,2017
35,才木　浩人,投手,1998/11/07,19歳,1年,188cm,79kg,A型,右右,兵庫,600万円,阪神,2017
36,浜地　真澄,投手,1998/05/25,19歳,1年,184cm,88kg,O型,右右,福岡,500万円,阪神,2017
37,森越　祐人,内野手,1988/08/11,29歳,7年,178cm,73kg,A型,右右,愛知,650万円,阪神,2017
38,マテオ,投手,1984/04/18,33歳,2年,188cm,107kg,不明,右右,ドミニカ共和国,"11,000万円",阪神,2017
39,長坂　拳弥,捕手,1994/04/28,23歳,1年,173cm,78kg,B型,右右,群馬,720万円,阪神,2017
40,福永　春吾,投手,1994/05/14,23歳,1年,185cm,90kg,O型,右左,大阪,680万円,阪神,2017
41,髙橋　聡文,投手,1983/05/29,34歳,16年,176cm,86kg,A型,左左,福井,"5,000万円",阪神,2017
42,竹安　大知,投手,1994/09/27,23歳,2年,183cm,80kg,O型,右右,静岡,840万円,阪神,2017
43,守屋　功輝,投手,1993/11/25,24歳,3年,183cm,87kg,A型,右右,岡山,800万円,阪神,2017
44,梅野　隆太郎,捕手,1991/06/17,26歳,4年,173cm,76kg,A型,右右,福岡,"1,350万円",阪神,2017
45,藤谷　洸介,投手,1996/02/12,21歳,1年,194cm,90kg,A型,右右,山口,700万円,阪神,2017
46,秋山　拓巳,投手,1991/04/26,26歳,8年,188cm,97kg,A型,右左,香川,"1,100万円",阪神,2017
47,山本　翔也,投手,1988/10/12,29歳,4年,183cm,91kg,O型,左左,福井,900万円,阪神,2017
48,ロジャース,内野手,1988/03/13,29歳,1年,185cm,117kg,不明,右右,アメリカ,"3,300万円",阪神,2017
49,今成　亮太,内野手,1987/10/06,30歳,12年,178cm,80kg,O型,右左,埼玉,"3,800万円",阪神,2017
50,青柳　晃洋,投手,1993/12/11,24歳,2年,182cm,82kg,B型,右右,神奈川,"1,200万円",阪神,2017
51,伊藤　隼太,外野手,1989/05/08,28歳,6年,177cm,82kg,O型,右左,愛知,"1,500万円",阪神,2017
52,小豆畑　眞也,捕手,1988/07/22,29歳,5年,181cm,78kg,A型,右右,岐阜,650万円,阪神,2017
54,メッセンジャー,投手,1981/08/13,36歳,8年,198cm,121kg,不明,右右,アメリカ,"35,000万円",阪神,2017
55,陽川　尚将,内野手,1991/07/17,26歳,4年,180cm,89kg,O型,右右,大阪,900万円,阪神,2017
56,松田　遼馬,投手,1994/02/08,23歳,6年,184cm,92kg,A型,右右,長崎,"1,400万円",阪神,2017
57,岡﨑　太一,捕手,1983/06/20,34歳,13年,180cm,84kg,O型,右右,奈良,"1,300万円",阪神,2017
58,荒木　郁也,内野手,1988/04/25,29歳,7年,183cm,69kg,B型,右左,東京,"1,000万円",阪神,2017
59,小宮山　慎二,捕手,1985/11/26,32歳,14年,178cm,83kg,A型,右右,神奈川,"1,050万円",阪神,2017
60,中谷　将大,外野手,1993/01/05,24歳,7年,187cm,89kg,A型,右右,福岡,"1,200万円",阪神,2017
61,望月　惇志,投手,1997/08/02,20歳,2年,189cm,92kg,AB型,右右,神奈川,500万円,阪神,2017
62,植田　海,内野手,1996/04/19,21歳,3年,175cm,70kg,O型,右両,滋賀,500万円,阪神,2017
63,板山　祐太郎,外野手,1994/03/27,23歳,2年,180cm,78kg,B型,右左,神奈川,900万円,阪神,2017
64,桑原　謙太朗,投手,1985/10/29,32歳,10年,184cm,84kg,O型,右右,三重,800万円,阪神,2017
65,緒方　凌介,外野手,1990/08/25,27歳,5年,176cm,70kg,O型,右左,大阪,800万円,阪神,2017
66,柳瀬　明宏,投手,1983/07/08,34歳,12年,176cm,78kg,O型,右右,広島,"1,000万円",阪神,2017
67,岩崎　優,投手,1991/06/19,26歳,4年,185cm,90kg,B型,左左,静岡,"2,500万円",阪神,2017
68,俊介,外野手,1987/08/17,30歳,8年,178cm,74kg,A型,右右,福岡,"2,400万円",阪神,2017
69,島本　浩也,投手,1993/02/14,24歳,7年,176cm,69kg,B型,左左,奈良,"1,100万円",阪神,2017
75,メンドーサ,投手,1983/10/31,34歳,4年,191cm,111kg,不明,右右,メキシコ,"19,000万円",阪神,2017
92,伊藤　和雄,投手,1989/12/13,28歳,6年,186cm,95kg,A型,右右,埼玉,600万円,阪神,2017
94,原口　文仁,捕手,1992/03/03,25歳,8年,182cm,88kg,AB型,右右,埼玉,"2,200万円",阪神,2017
97,田面　巧二郎,投手,1990/12/09,27歳,5年,179cm,90kg,A型,右右,群馬,530万円,阪神,2017
98,ドリス,投手,1988/01/10,29歳,2年,195cm,109kg,不明,右右,ドミニカ共和国,"5,000万円",阪神,2017
99,狩野　恵輔,外野手,1982/12/17,35歳,17年,181cm,86kg,B型,右右,群馬,"2,800万円",阪神,2017
133,西田　直斗,内野手,1993/04/26,24歳,6年,186cm,82kg,O型,右左,大阪,500万円,阪神,2017
0,山崎　憲晴,内野手,1986/12/13,31歳,9年,176cm,80kg,O型,右右,静岡,"1,700万円",横浜,2017
1,熊原　健人,投手,1993/10/19,24歳,2年,178cm,85kg,O型,右左,宮城,"1,300万円",横浜,2017
2,ロペス,内野手,1983/11/24,34歳,5年,183cm,103kg,不明,右右,ベネズエラ,"23,000万円",横浜,2017
3,梶谷　隆幸,外野手,1988/08/28,29歳,11年,180cm,85kg,A型,右左,島根,"9,300万円",横浜,2017
4,荒波　翔,外野手,1986/01/25,31歳,7年,179cm,78kg,A型,右左,神奈川,"3,300万円",横浜,2017
5,倉本　寿彦,内野手,1991/01/07,26歳,3年,180cm,82kg,B型,右左,神奈川,"4,300万円",横浜,2017
6,白崎　浩之,内野手,1990/08/20,27歳,5年,184cm,89kg,O型,右右,北海道,"2,000万円",横浜,2017
7,石川　雄洋,内野手,1986/07/10,31歳,13年,183cm,78kg,O型,右左,静岡,"6,300万円",横浜,2017
10,戸柱　恭孝,捕手,1990/04/11,27歳,2年,179cm,87kg,A型,右左,鹿児島,"2,000万円",横浜,2017
12,小林　寛,投手,1989/01/21,28歳,7年,180cm,87kg,AB型,右右,広島,900万円,横浜,2017
13,水野　滉也,投手,1994/06/01,23歳,1年,175cm,74kg,O型,右右,北海道,"1,200万円",横浜,2017
14,石田　健大,投手,1993/03/01,24歳,3年,180cm,85kg,O型,左左,広島,"4,800万円",横浜,2017
15,井納　翔一,投手,1986/05/01,31歳,5年,188cm,91kg,A型,右右,東京,"7,200万円",横浜,2017
16,加賀　繁,投手,1985/04/13,32歳,8年,182cm,84kg,B型,右右,埼玉,"2,800万円",横浜,2017
17,三嶋　一輝,投手,1990/05/07,27歳,5年,176cm,80kg,A型,右両,福岡,"2,300万円",横浜,2017
19,山﨑　康晃,投手,1992/10/02,25歳,3年,178cm,85kg,O型,右右,東京,"8,000万円",横浜,2017
20,須田　幸太,投手,1986/07/31,31歳,7年,176cm,72kg,AB型,右右,茨城,"4,400万円",横浜,2017
21,今永　昇太,投手,1993/09/01,24歳,2年,177cm,80kg,A型,左左,福岡,"4,000万円",横浜,2017
22,高崎　健太郎,投手,1985/06/24,32歳,11年,176cm,82kg,O型,右右,熊本,"2,500万円",横浜,2017
23,松尾　大河,内野手,1998/04/05,19歳,1年,174cm,75kg,B型,右右,大阪,600万円,横浜,2017
24,林　昌範,投手,1983/09/19,34歳,16年,186cm,80kg,O型,左左,千葉,"4,100万円",横浜,2017
25,筒香　嘉智,外野手,1991/11/26,26歳,8年,185cm,97kg,A型,右左,和歌山,"30,000万円",横浜,2017
26,濵口　遥大,投手,1995/03/16,22歳,1年,173cm,80kg,B型,左左,佐賀,"1,500万円",横浜,2017
27,久保　康友,投手,1980/08/06,37歳,13年,180cm,81kg,B型,右右,奈良,"10,000万円",横浜,2017
28,福地　元春,投手,1990/06/21,27歳,3年,182cm,94kg,O型,左左,沖縄,900万円,横浜,2017
29,尾仲　祐哉,投手,1995/01/31,22歳,1年,173cm,72kg,O型,右左,福岡,720万円,横浜,2017
30,飯塚　悟史,投手,1996/10/11,21歳,3年,188cm,85kg,A型,右左,新潟,520万円,横浜,2017
31,柴田　竜拓,内野手,1993/12/16,24歳,2年,167cm,68kg,O型,右左,岡山,"1,000万円",横浜,2017
32,髙城　俊人,捕手,1993/05/03,24歳,6年,176cm,86kg,AB型,右右,福岡,"1,600万円",横浜,2017
33,乙坂　智,外野手,1994/01/06,23歳,6年,182cm,83kg,O型,右左,神奈川,"1,600万円",横浜,2017
34,平田　真吾,投手,1989/08/29,28歳,4年,182cm,80kg,A型,右右,山口,"1,000万円",横浜,2017
35,三上　朋也,投手,1989/04/10,28歳,4年,190cm,90kg,AB型,右右,岐阜,"6,000万円",横浜,2017
36,狩野　行寿,内野手,1994/07/31,23歳,1年,180cm,80kg,B型,右右,埼玉,700万円,横浜,2017
37,桑原　将志,外野手,1993/07/21,24歳,6年,174cm,78kg,B型,右右,大阪,"4,000万円",横浜,2017
38,山下　幸輝,内野手,1993/01/31,24歳,3年,173cm,72kg,B型,右左,千葉,"1,200万円",横浜,2017
39,嶺井　博希,捕手,1991/06/04,26歳,4年,175cm,85kg,B型,右右,沖縄,"1,300万円",横浜,2017
40,飛雄馬,内野手,1991/03/17,26歳,6年,181cm,88kg,B型,右右,大阪,900万円,横浜,2017
41,大原　慎司,投手,1985/06/30,32歳,7年,174cm,66kg,A型,左左,茨城,"2,600万円",横浜,2017
42,エリアン,内野手,1985/02/01,32歳,2年,180cm,93kg,不明,右両,ドミニカ共和国,"4,500万円",横浜,2017
43,進藤　拓也,投手,1992/07/16,25歳,1年,186cm,90kg,O型,右右,秋田,750万円,横浜,2017
44,佐野　恵太,内野手,1994/11/28,23歳,1年,178cm,84kg,A型,右左,岡山,670万円,横浜,2017
45,綾部　翔,投手,1997/04/25,20歳,2年,189cm,90kg,O型,右右,茨城,560万円,横浜,2017
46,田中　健二朗,投手,1989/09/18,28歳,10年,179cm,75kg,B型,左左,愛知,"4,300万円",横浜,2017
47,砂田　毅樹,投手,1995/07/20,22歳,4年,179cm,78kg,B型,左左,北海道,"1,700万円",横浜,2017
48,京山　将弥,投手,1998/07/04,19歳,1年,182cm,75kg,B型,右右,滋賀,550万円,横浜,2017
49,クライン,投手,1989/04/30,28歳,1年,201cm,116kg,不明,右右,アメリカ,"15,000万円",横浜,2017
50,下園　辰哉,外野手,1984/11/22,33歳,11年,179cm,81kg,B型,左左,宮崎,"2,300万円",横浜,2017
51,宮﨑　敏郎,内野手,1988/12/12,29歳,5年,172cm,85kg,B型,右右,佐賀,"3,000万円",横浜,2017
52,細川　成也,外野手,1998/08/04,19歳,1年,179cm,86kg,AB型,右右,神奈川,500万円,横浜,2017
53,パットン,投手,1988/02/20,29歳,1年,185cm,91kg,不明,右右,アメリカ,"9,000万円",横浜,2017
54,小杉　陽太,投手,1985/12/08,32歳,9年,187cm,78kg,O型,右右,東京,"1,550万円",横浜,2017
55,Ｇ．後藤　武敏,内野手,1980/06/05,37歳,15年,176cm,84kg,A型,右右,静岡,"2,200万円",横浜,2017
56,ウィーランド,投手,1990/01/21,27歳,1年,188cm,93kg,不明,右右,アメリカ,"9,000万円",横浜,2017
57,青柳　昴樹,外野手,1997/05/19,20歳,2年,182cm,84kg,A型,右右,大阪,510万円,横浜,2017
58,野川　拓斗,投手,1991/09/06,26歳,2年,170cm,78kg,B型,左左,埼玉,800万円,横浜,2017
59,平良　拳太郎,投手,1995/07/12,22歳,4年,180cm,76kg,O型,右右,沖縄,750万円,横浜,2017
60,白根　尚貴,外野手,1993/04/28,24歳,6年,186cm,90kg,A型,右右,島根,510万円,横浜,2017
61,松本　啓二朗,外野手,1986/06/24,31歳,9年,182cm,85kg,O型,左左,千葉,"1,300万円",横浜,2017
62,エスコバー,投手,1992/04/22,25歳,1年,188cm,102kg,不明,左左,ベネズエラ,"9,000万円",横浜,2017
63,関根　大気,外野手,1995/06/28,22歳,4年,173cm,75kg,A型,左左,愛知,"1,600万円",横浜,2017
64,百瀬　大騎,内野手,1997/03/11,20歳,3年,175cm,70kg,A型,右左,長野,520万円,横浜,2017
65,国吉　佑樹,投手,1991/09/24,26歳,8年,196cm,100kg,A型,右右,大阪,"2,000万円",横浜,2017
66,西森　将司,捕手,1987/12/29,30歳,6年,182cm,80kg,A型,右両,京都,610万円,横浜,2017
67,田中　浩康,内野手,1982/05/24,35歳,13年,177cm,80kg,O型,右右,京都,"1,500万円",横浜,2017
68,藤岡　好明,投手,1985/03/12,32歳,12年,177cm,81kg,O型,右左,大阪,"1,200万円",横浜,2017
91,柿田　裕太,投手,1992/08/27,25歳,4年,182cm,84kg,A型,右右,長野,800万円,横浜,2017
98,シリアコ,内野手,1987/06/16,30歳,1年,191cm,102kg,不明,右右,ドミニカ共和国,"1,000万円",横浜,2017
100,網谷　圭将,捕手,1997/10/03,20歳,2年,184cm,84kg,O型,右右,千葉,360万円,横浜,2017
101,山本　武白志,内野手,1998/02/17,19歳,2年,188cm,95kg,A型,右右,神奈川,360万円,横浜,2017
102,亀井　塔生,捕手,1997/02/19,20歳,3年,180cm,75kg,O型,右右,京都,360万円,横浜,2017
103,田村　丈,投手,1992/11/20,25歳,2年,185cm,86kg,O型,右右,兵庫,360万円,横浜,2017
105,笠井　崇正,投手,1994/08/07,23歳,1年,179cm,93kg,B型,右右,北海道,360万円,横浜,2017
0,寺内　崇幸,内野手,1983/05/27,34歳,11年,177cm,73kg,B型,右右,栃木,"2,800万円",巨人,2017
0,吉川　尚輝,内野手,1995/02/08,22歳,1年,177cm,79kg,A型,右左,岐阜,"1,500万円",巨人,2017
2,陽　岱鋼,外野手,1987/01/17,30歳,12年,183cm,89kg,A型,右右,台湾,"16,000万円",巨人,2017
2,加藤　脩平,外野手,1999/03/28,18歳,1年,178cm,84kg,O型,右左,静岡,240万円,巨人,2017
3,山川　和大,投手,1995/01/04,22歳,1年,170cm,73kg,A型,右左,兵庫,240万円,巨人,2017
4,川相　拓也,内野手,1990/11/25,27歳,3年,174cm,74kg,O型,右右,神奈川,290万円,巨人,2017
5,田中　貴也,捕手,1992/08/27,25歳,3年,178cm,80kg,O型,右左,京都,300万円,巨人,2017
5,ギャレット,外野手,1981/06/21,36歳,2年,196cm,107kg,不明,左左,アメリカ,"16,000万円",巨人,2017
6,坂本　工宜,投手,1994/08/19,23歳,1年,180cm,80kg,O型,右右,滋賀,240万円,巨人,2017
6,坂本　勇人,内野手,1988/12/14,29歳,11年,186cm,83kg,AB型,右右,兵庫,"35,000万円",巨人,2017
7,髙橋　洸,外野手,1993/04/30,24歳,6年,185cm,77kg,A型,右右,新潟,510万円,巨人,2017
7,長野　久義,外野手,1984/12/06,33歳,8年,180cm,85kg,O型,右右,佐賀,"22,500万円",巨人,2017
8,青山　誠,外野手,1991/11/01,26歳,4年,185cm,85kg,O型,右右,兵庫,320万円,巨人,2017
8,片岡　治大,内野手,1983/02/17,34歳,13年,176cm,80kg,O型,右右,千葉,"6,000万円",巨人,2017
9,松原　聖弥,外野手,1995/01/26,22歳,1年,173cm,70kg,O型,右左,大阪,240万円,巨人,2017
9,亀井　善行,外野手,1982/07/28,35歳,13年,178cm,82kg,AB型,右左,奈良,"5,000万円",巨人,2017
10,高山　竜太朗,捕手,1995/02/21,22歳,1年,186cm,80kg,A型,右右,鹿児島,240万円,巨人,2017
10,阿部　慎之助,内野手,1979/03/20,38歳,17年,180cm,97kg,A型,右左,千葉,"26,000万円",巨人,2017
11,髙井　俊,投手,1995/08/22,22歳,1年,180cm,78kg,AB型,右右,新潟,240万円,巨人,2017
12,脇谷　亮太,内野手,1981/11/04,36歳,12年,177cm,77kg,A型,右左,大分,"2,160万円",巨人,2017
12,成瀬　功亮,投手,1992/08/19,25歳,7年,182cm,88kg,A型,右右,北海道,290万円,巨人,2017
13,堀岡　隼人,投手,1998/09/11,19歳,1年,183cm,84kg,O型,右右,神奈川,240万円,巨人,2017
13,森福　允彦,投手,1986/07/29,31歳,11年,172cm,66kg,A型,左左,愛知,"12,000万円",巨人,2017
14,松澤　裕介,外野手,1992/07/01,25歳,1年,181cm,85kg,A型,左左,愛知,240万円,巨人,2017
15,澤村　拓一,投手,1988/04/03,29歳,7年,184cm,102kg,A型,右右,栃木,"15,000万円",巨人,2017
15,増田　大輝,内野手,1993/07/29,24歳,2年,172cm,65kg,A型,右右,徳島,290万円,巨人,2017
